number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
434,0.028436798885890055,0.2727541980583794,2026-03-13 14:54:59.261469,2026-03-13 14:55:00.259123,0 days 00:00:00.997654,4.279898652480756,0.688270199559256,48.155207650464,52.01090378662589,4.389703372698119,5.449658964324548,4.340750260243717,3.2774010524773464e-07,1.8061435766840572e-17,7.722527698200973e-15,2.1759904278846936e-08,-15.142793166190785,7.0,,COMPLETE
435,0.006439030752686735,0.04784450691893322,2026-03-13 14:55:00.260120,2026-03-13 14:55:01.165610,0 days 00:00:00.905490,4.234574450967509,0.5011623881960187,47.94554590074915,51.10107201161464,4.363814387881665,5.38643959047354,4.38396585768342,3.2430109454609004e-07,1.3535790747321685e-15,5.225070196214357e-17,4.027594978459608e-07,-16.07977690758002,7.0,,COMPLETE
436,0.06455942275309164,0.0959574862263934,2026-03-13 14:55:01.165610,2026-03-13 14:55:02.010435,0 days 00:00:00.844825,4.234574450967509,0.5471841331670136,46.815734235050996,53.400752427809564,4.362221235614405,5.38643959047354,4.256438737312667,3.2430109454609004e-07,1.3732792332420093e-15,4.1000112059104077e-16,1.3835535034898215e-07,-14.608838965530715,7.0,,COMPLETE
437,0.0037566311139313833,0.38088236450560986,2026-03-13 14:55:02.011431,2026-03-13 14:55:02.997230,0 days 00:00:00.985799,4.234574450967509,0.6867332216830433,48.620258311803646,51.892434973275236,4.362221235614405,5.38643959047354,4.2564682275853,3.2774010524773464e-07,1.1168869378003539e-17,3.103829978204093e-17,1.1077649290620279e-07,-16.07977690758002,7.0,,COMPLETE
438,0.07506745948229317,0.0914185240847208,2026-03-13 14:55:02.998302,2026-03-13 14:55:04.069785,0 days 00:00:01.071483,4.234574450967509,0.5011623881960187,46.815734235050996,53.400752427809564,4.363814387881665,5.346195340894862,4.373819869128801,3.2430109454609004e-07,1.3535790747321685e-15,7.646499677157575e-17,1.0902655424354349e-08,-14.038561164341335,7.0,,COMPLETE
439,0.06616513774087422,0.043968246781432095,2026-03-13 14:55:04.070782,2026-03-13 14:55:05.020757,0 days 00:00:00.949975,4.234574450967509,0.5011623881960187,48.373094469873365,52.24527926238018,4.2191439247585825,5.473101312605932,4.379893069985596,3.2430109454609004e-07,1.8061435766840572e-17,5.225070196214357e-17,2.5664113495585164e-08,-14.038561164341335,7.0,,COMPLETE
440,0.02108845596320126,0.06253682988027905,2026-03-13 14:55:05.021764,2026-03-13 14:55:06.108944,0 days 00:00:01.087180,4.298437444441174,0.5401037936171467,48.358470156687716,53.96092577381798,4.363814387881665,5.38643959047354,4.379893069985596,3.2592597392292383e-07,1.971276384836247e-16,3.103829978204093e-17,1.711559003147837e-08,-16.129905096408926,7.0,,COMPLETE
441,0.015048669132512116,0.0936558426129126,2026-03-13 14:55:06.109938,2026-03-13 14:55:07.031946,0 days 00:00:00.922008,4.384672361062914,0.5011623881960187,47.40455560402438,53.21880111861873,4.221854330954056,5.484405395084121,4.209167598691573,3.2835793145306333e-07,3.578300316931735e-15,2.9813728031178997e-18,1.2985549458248027e-07,-14.677758735692152,7.0,,COMPLETE
442,0.021329632475240192,0.04385381190508442,2026-03-13 14:55:07.033584,2026-03-13 14:55:07.956034,0 days 00:00:00.922450,4.384672361062914,0.5011623881960187,48.70605605891457,51.10107201161464,4.363814387881665,5.346195340894862,4.38396585768342,3.309122318058947e-07,8.063035226196599e-16,5.225070196214357e-17,8.518510438917664e-08,-14.038561164341335,7.0,,COMPLETE
443,0.01052550789022513,0.13082088969331235,2026-03-13 14:55:07.957031,2026-03-13 14:55:09.009423,0 days 00:00:01.052392,4.241642795065647,0.5768064637689114,47.721913831714154,52.31462847466886,4.300891471607496,5.38643959047354,4.385444732430226,3.275260522682166e-07,1.5951302803696658e-15,2.88842348473924e-17,1.711559003147837e-08,-16.129905096408926,7.0,,COMPLETE
444,0.0031863672379474845,0.1130916386010793,2026-03-13 14:55:09.010420,2026-03-13 14:55:10.088443,0 days 00:00:01.078023,4.234574450967509,0.5515635972482404,48.358470156687716,53.96092577381798,4.300891471607496,5.495593258470635,4.379893069985596,3.294734456846962e-07,1.3535790747321685e-15,5.225070196214357e-17,2.5664113495585164e-08,-16.129905096408926,7.0,,COMPLETE
445,0.02277086317684749,0.012932098530396622,2026-03-13 14:55:10.089440,2026-03-13 14:55:11.163839,0 days 00:00:01.074399,4.384672361062914,0.5011623881960187,46.05402108468841,53.198752109788835,4.457343626420763,5.408375123906557,4.2564682275853,3.284093955361284e-07,8.063035226196599e-16,4.255519533850717e-18,1.3835535034898215e-07,-14.677758735692152,7.0,,COMPLETE
446,0.06260223017010011,0.0516040752795085,2026-03-13 14:55:11.164836,2026-03-13 14:55:12.028658,0 days 00:00:00.863822,4.298437444441174,0.5011623881960187,47.48146174666705,53.21880111861873,4.362221235614405,5.428716639424191,4.256438737312667,3.2430109454609004e-07,1.3535790747321685e-15,5.225070196214357e-17,1.4994958499959604e-07,-14.196334414657654,7.0,,COMPLETE
447,,,2026-03-13 14:55:12.029655,2026-03-13 14:55:12.091152,0 days 00:00:00.061497,4.234574450967509,0.5515635972482404,50.5683825615387,55.13579629119424,4.362221235614405,5.346195340894862,4.278246698760668,3.309122318058947e-07,1.8061435766840572e-17,1.0574793317089384e-16,2.5664113495585164e-08,-16.129905096408926,7.0,,PRUNED
