number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_E_v,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
270,0.03437543523847107,0.18491278898645017,2026-03-19 21:29:52.380220,2026-03-19 21:29:53.648627,0 days 00:00:01.268407,4.230174928046367,5.453576746965657,0.6027730447351021,49.043557213351974,54.89632835068689,4.422133147595423,0.14231859359146662,4.244081571429584,3.2514050297916917e-07,2.4128326032315544e-16,1.270434807853579e-15,4.1368263514458885e-07,-15.896159196151439,4,,COMPLETE
271,0.02570036931957151,0.551245520670241,2026-03-19 21:29:53.649624,2026-03-19 21:29:55.214935,0 days 00:00:01.565311,4.274762198714942,5.435394752195208,0.894590685148065,47.20729398870824,52.47526554884281,4.2806985693121815,0.20262683143865845,4.31044456967978,3.29370605436416e-07,3.424394212420533e-15,1.6500490700262868e-18,1.0151118582893749e-08,-15.896159196151439,4,,COMPLETE
272,0.02935527688815461,0.08912721789306828,2026-03-19 21:29:55.215930,2026-03-19 21:29:56.596059,0 days 00:00:01.380129,4.228569930482258,5.461123537494705,0.57,47.40579182949398,53.90302431415357,4.362478392556494,0.14231859359146662,4.200000043430672,3.3111952124065384e-07,5.351209735926775e-15,6.133336401824595e-17,4.1368263514458885e-07,-17.648518458009537,4,,COMPLETE
273,0.03201088935571672,0.07619561439739343,2026-03-19 21:29:56.597057,2026-03-19 21:29:57.887002,0 days 00:00:01.289945,4.267714831225531,5.358429573185043,0.5501837426122003,46.61422130712124,52.66620921206766,4.223625337340381,0.08462684697157842,4.43294945494321,3.2553698165642697e-07,1.3890896750678522e-15,2.4773151053990014e-17,8.958036117837931e-08,-17.319963379327806,4,,COMPLETE
274,0.011790919391352751,0.24005056420829857,2026-03-19 21:29:57.887999,2026-03-19 21:29:59.091018,0 days 00:00:01.203019,4.263099648631904,5.453576746965657,0.6027730447351021,49.09144350481227,53.6741958102092,4.2806985693121815,0.14231859359146662,4.223927318064577,3.285691998530928e-07,3.012382076275439e-17,9.120898425303872e-18,3.775736500346297e-07,-15.63547135190938,4,,COMPLETE
275,0.03600362555061434,0.1437777908234161,2026-03-19 21:29:59.092024,2026-03-19 21:30:00.311990,0 days 00:00:01.219966,4.27781467375101,5.492885541501811,0.5506619147538803,48.14132427045731,52.28892031697784,4.362478392556494,0.0,4.460051177614863,3.28e-07,1.0427271680244793e-18,2.0000000000000017e-17,3.0000000000000015e-07,-16.354444994345954,4,,COMPLETE
276,,,2026-03-19 21:30:00.312987,2026-03-19 21:30:00.385745,0 days 00:00:00.072758,4.230174928046367,5.391516499246786,0.5332713864070916,49.91179293361909,51.84966475501325,4.362478392556494,0.0,4.272984229626048,3.318023860686569e-07,1.0427271680244793e-18,1.8013464710909424e-18,8.016219822808743e-08,-15.896159196151439,4,,PRUNED
277,0.013666090477907221,0.479451685803167,2026-03-19 21:30:00.386741,2026-03-19 21:30:02.054203,0 days 00:00:01.667462,4.274762198714942,5.391516499246786,0.894590685148065,47.20729398870824,52.44157921473532,4.422133147595423,0.06425870728106069,4.244081571429584,3.289101223935627e-07,5.672589383717571e-15,1.6500490700262868e-18,1.0151118582893749e-08,-15.896159196151439,4,,COMPLETE
278,0.02514363192963074,0.05254387601747634,2026-03-19 21:30:02.055200,2026-03-19 21:30:03.131514,0 days 00:00:01.076314,4.267714831225531,5.492885541501811,0.5282255481925329,47.13066101143863,51.92160066737277,4.388114325381594,0.14231859359146662,4.200000043430672,3.2514050297916917e-07,2.4128326032315544e-16,2.0000000000000017e-17,1.5558799504293026e-07,-17.498017643910664,4,,COMPLETE
279,0.013093848675371023,0.04179577372577714,2026-03-19 21:30:03.132510,2026-03-19 21:30:04.266370,0 days 00:00:01.133860,4.2532925735181255,5.453576746965657,0.5301812794359945,49.043557213351974,53.24357663931989,4.287879233956659,0.10499110346299284,4.223927318064577,3.318023860686569e-07,2.4128326032315544e-16,1.270434807853579e-15,4.1368263514458885e-07,-16.014633997772194,4,,COMPLETE
280,0.09719560060831811,0.031880212609839344,2026-03-19 21:30:04.267368,2026-03-19 21:30:05.580007,0 days 00:00:01.312639,4.228569930482258,5.453576746965657,0.5282255481925329,49.043557213351974,53.90302431415357,4.388114325381594,0.14231859359146662,4.43294945494321,3.2514050297916917e-07,2.4128326032315544e-16,2.4773151053990014e-17,1.3244702486855526e-07,-17.319963379327806,4,,COMPLETE
281,0.03575747645162547,0.26517762817601626,2026-03-19 21:30:05.581005,2026-03-19 21:30:06.870247,0 days 00:00:01.289242,4.230174928046367,5.391516499246786,0.6027730447351021,49.09144350481227,52.47526554884281,4.381119018992183,0.2613767577176181,4.279384208286863,3.28e-07,3.012382076275439e-17,8.120410526728592e-16,3.0000000000000015e-07,-16.354444994345954,4,,COMPLETE
282,0.019059990210577554,0.32690335670487153,2026-03-19 21:30:06.871245,2026-03-19 21:30:08.080973,0 days 00:00:01.209728,4.3405450647496435,5.468936604792058,0.7005204990278756,49.043557213351974,51.50996333498947,4.333440647977057,0.19183253250855914,4.43294945494321,3.2466300872574805e-07,7.546229783695509e-17,1.270434807853579e-15,6.690676032737693e-07,-14.182320122919442,4,,COMPLETE
