x	G_ehp
1.662499999999999964e-07	1.650463000000000046e+27
1.675000000000000109e-07	1.663373000000000042e+27
1.687499999999999990e-07	1.677550999999999958e+27
1.699999999999999870e-07	1.692900000000000040e+27
1.712500000000000015e-07	1.709322999999999984e+27
1.724999999999999895e-07	1.726718999999999864e+27
1.737500000000000040e-07	1.744986000000000050e+27
1.749999999999999921e-07	1.764021000000000117e+27
1.762500000000000066e-07	1.783719999999999938e+27
1.774999999999999946e-07	1.803977999999999960e+27
1.787500000000000091e-07	1.824690000000000081e+27
1.799999999999999971e-07	1.845749999999999950e+27
1.812500000000000117e-07	1.867053000000000016e+27
1.824999999999999997e-07	1.888491999999999952e+27
1.837499999999999877e-07	1.909963999999999880e+27
1.850000000000000022e-07	1.931362000000000025e+27
1.862499999999999902e-07	1.952582999999999959e+27
1.875000000000000048e-07	1.973525000000000054e+27
1.887499999999999928e-07	1.994086000000000134e+27
1.900000000000000073e-07	2.014166999999999945e+27
1.912499999999999953e-07	2.033669000000000059e+27
1.925000000000000098e-07	2.052498000000000096e+27
1.937499999999999978e-07	2.070558000000000004e+27
1.950000000000000124e-07	2.087757999999999877e+27
1.962500000000000004e-07	2.104010999999999984e+27
1.974999999999999884e-07	2.119231000000000019e+27
1.987500000000000029e-07	2.133334999999999876e+27
1.999999999999999909e-07	2.146242999999999923e+27
2.012500000000000055e-07	2.157881000000000100e+27
2.024999999999999935e-07	2.168176000000000049e+27
2.037500000000000080e-07	2.177060000000000110e+27
2.049999999999999960e-07	2.184468999999999973e+27
2.062500000000000105e-07	2.190342000000000074e+27
2.074999999999999986e-07	2.194625000000000127e+27
2.087500000000000131e-07	2.197266000000000069e+27
2.100000000000000011e-07	2.198217999999999983e+27
2.112499999999999891e-07	2.197439000000000105e+27
2.125000000000000036e-07	2.194892999999999968e+27
2.137499999999999917e-07	2.190548000000000104e+27
2.150000000000000062e-07	2.184374999999999868e+27
2.162499999999999942e-07	2.176354000000000041e+27
2.175000000000000087e-07	2.166466000000000002e+27
2.187499999999999967e-07	2.154701000000000003e+27
2.200000000000000112e-07	2.141050999999999971e+27
2.212499999999999993e-07	2.125515999999999905e+27
2.224999999999999873e-07	2.108098000000000030e+27
2.237500000000000018e-07	2.088807000000000095e+27
2.249999999999999898e-07	2.067657999999999995e+27
2.262500000000000043e-07	2.044669000000000102e+27
2.274999999999999924e-07	2.019866000000000035e+27
2.287500000000000069e-07	1.993277999999999888e+27
2.299999999999999949e-07	1.964938999999999902e+27
2.312500000000000094e-07	1.934889999999999870e+27
2.324999999999999974e-07	1.903175000000000056e+27
2.337500000000000119e-07	1.869843000000000049e+27
2.350000000000000000e-07	1.834946999999999889e+27
2.362499999999999880e-07	1.798546999999999985e+27
2.375000000000000025e-07	1.760704999999999876e+27
2.387499999999999905e-07	1.721487000000000095e+27
2.399999999999999786e-07	1.680965999999999903e+27
2.412500000000000195e-07	1.639214999999999932e+27
2.425000000000000076e-07	1.596314000000000091e+27
2.437499999999999956e-07	1.552343000000000011e+27
2.449999999999999836e-07	1.507389999999999949e+27
2.462500000000000246e-07	1.461540999999999934e+27
2.475000000000000126e-07	1.414889000000000097e+27
2.487500000000000007e-07	1.367527999999999992e+27
2.499999999999999887e-07	1.331615999999999881e+27
