lambda n k
6.870000000000000504e-07 1.656347000000000014e+00 5.064849999999999630e-01
6.880000000000000197e-07 1.658079000000000081e+00 5.037890000000000423e-01
6.890000000000000948e-07 1.659693000000000085e+00 5.010869999999999491e-01
6.900000000000000641e-07 1.661189000000000027e+00 4.983830000000000204e-01
6.910000000000000333e-07 1.662568000000000046e+00 4.956820000000000115e-01
6.920000000000000026e-07 1.663826999999999945e+00 4.929879999999999818e-01
6.930000000000000777e-07 1.664968000000000004e+00 4.903069999999999928e-01
6.940000000000000469e-07 1.665988999999999942e+00 4.876420000000000199e-01
6.950000000000000162e-07 1.666892999999999958e+00 4.850010000000000154e-01
6.960000000000000913e-07 1.667677999999999994e+00 4.823859999999999815e-01
6.970000000000000606e-07 1.668344999999999967e+00 4.798040000000000083e-01
6.980000000000000298e-07 1.668895000000000017e+00 4.772600000000000176e-01
6.989999999999999991e-07 1.669329999999999981e+00 4.747589999999999866e-01
7.000000000000000742e-07 1.669650000000000079e+00 4.723060000000000036e-01
7.010000000000000435e-07 1.669858000000000064e+00 4.699059999999999904e-01
7.020000000000000127e-07 1.669953000000000021e+00 4.675650000000000084e-01
7.030000000000000878e-07 1.669939999999999980e+00 4.652890000000000081e-01
7.040000000000000571e-07 1.669820000000000082e+00 4.630810000000000204e-01
7.050000000000000263e-07 1.669594999999999940e+00 4.609480000000000244e-01
7.059999999999999956e-07 1.669268999999999892e+00 4.588949999999999974e-01
7.070000000000000707e-07 1.668843999999999994e+00 4.569280000000000008e-01
7.080000000000000400e-07 1.668323000000000000e+00 4.550500000000000100e-01
7.090000000000000092e-07 1.667710999999999943e+00 4.532680000000000042e-01
7.100000000000000843e-07 1.667011000000000021e+00 4.515859999999999874e-01
7.110000000000000536e-07 1.666228000000000042e+00 4.500089999999999923e-01
7.120000000000000228e-07 1.665365999999999902e+00 4.485430000000000250e-01
7.129999999999999921e-07 1.664428999999999936e+00 4.471899999999999764e-01
7.140000000000000672e-07 1.663424000000000014e+00 4.459569999999999923e-01
7.150000000000000365e-07 1.662355000000000027e+00 4.448469999999999924e-01
7.160000000000000057e-07 1.661227999999999927e+00 4.438639999999999808e-01
7.170000000000000808e-07 1.660050000000000026e+00 4.430120000000000169e-01
7.180000000000000501e-07 1.658825999999999912e+00 4.422949999999999937e-01
7.190000000000000193e-07 1.657562999999999898e+00 4.417150000000000243e-01
7.200000000000000945e-07 1.656266999999999934e+00 4.412760000000000016e-01
7.210000000000000637e-07 1.654946999999999946e+00 4.409799999999999831e-01
7.220000000000000330e-07 1.653609000000000107e+00 4.408290000000000264e-01
7.230000000000000022e-07 1.652260000000000062e+00 4.408259999999999956e-01
7.240000000000000774e-07 1.650908999999999960e+00 4.409710000000000019e-01
7.250000000000000466e-07 1.649564000000000030e+00 4.412659999999999916e-01
7.260000000000000159e-07 1.648231000000000002e+00 4.417110000000000203e-01
7.270000000000000910e-07 1.646919000000000022e+00 4.423059999999999770e-01
7.280000000000000602e-07 1.645637000000000016e+00 4.430509999999999726e-01
7.290000000000000295e-07 1.644392000000000076e+00 4.439449999999999785e-01
7.299999999999999987e-07 1.643192999999999904e+00 4.449859999999999927e-01
7.310000000000000739e-07 1.642047000000000034e+00 4.461720000000000130e-01
7.320000000000000431e-07 1.640962000000000032e+00 4.475009999999999821e-01
7.330000000000000124e-07 1.639947000000000044e+00 4.489699999999999802e-01
7.340000000000000875e-07 1.639008000000000020e+00 4.505750000000000033e-01
7.350000000000000567e-07 1.638152000000000053e+00 4.523119999999999918e-01
7.360000000000000260e-07 1.637388000000000066e+00 4.541769999999999974e-01
7.369999999999999952e-07 1.636721000000000092e+00 4.561649999999999872e-01
7.380000000000000704e-07 1.636158000000000001e+00 4.582700000000000107e-01
7.390000000000000396e-07 1.635704000000000047e+00 4.604869999999999797e-01
7.400000000000000089e-07 1.635364999999999958e+00 4.628099999999999992e-01
7.410000000000000840e-07 1.635143999999999931e+00 4.652310000000000056e-01
7.420000000000000532e-07 1.635048000000000057e+00 4.677450000000000219e-01
7.430000000000000225e-07 1.635078999999999949e+00 4.703439999999999843e-01
7.440000000000000976e-07 1.635240000000000027e+00 4.730219999999999980e-01
7.450000000000000669e-07 1.635534000000000043e+00 4.757709999999999995e-01
7.460000000000000361e-07 1.635963000000000056e+00 4.785840000000000094e-01
7.470000000000000054e-07 1.636527999999999983e+00 4.814530000000000198e-01
7.480000000000000805e-07 1.637227999999999906e+00 4.843729999999999980e-01
7.490000000000000498e-07 1.638066000000000022e+00 4.873359999999999914e-01
7.500000000000000190e-07 1.639038999999999913e+00 4.903350000000000208e-01
7.510000000000000941e-07 1.640147000000000022e+00 4.933629999999999960e-01
7.520000000000000634e-07 1.641388000000000069e+00 4.964149999999999952e-01
7.530000000000000326e-07 1.642759000000000080e+00 4.994850000000000123e-01
7.540000000000000019e-07 1.644258999999999915e+00 5.025680000000000147e-01
7.550000000000000770e-07 1.645885000000000042e+00 5.056580000000000519e-01
7.560000000000000463e-07 1.647631999999999985e+00 5.087519999999999820e-01
7.570000000000000155e-07 1.649496999999999991e+00 5.118449999999999944e-01
7.580000000000000906e-07 1.651477000000000084e+00 5.149340000000000028e-01
7.590000000000000599e-07 1.653566000000000091e+00 5.180169999999999497e-01
7.600000000000000291e-07 1.655761999999999956e+00 5.210919999999999996e-01
7.609999999999999984e-07 1.658060000000000089e+00 5.241569999999999840e-01
