number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
157,0.03895226457889503,0.2817246635230657,2026-03-12 16:17:34.972724,2026-03-12 16:17:36.208353,0 days 00:00:01.235629,4.4745023880614605,0.7239636481059676,48.870736298559144,52.4424055120538,4.285150288098558,5.105874316561706,4.390428963573739,2.1697632560309568e-07,1.781565357419629e-17,2.426127071096088e-17,2.2485034718470363e-07,-14.112637728656937,2,,COMPLETE
158,0.013683920210399736,0.08614889903250204,2026-03-12 16:17:36.209418,2026-03-12 16:17:37.018312,0 days 00:00:00.808894,4.47613574687058,0.5554281677659516,46.206766555253616,50.65773248686806,4.300405669315023,5.1954347911197605,4.413996063031318,1.9540729200155968e-07,1.179930805069502e-18,8.864548643972452e-18,4.187789165667718e-08,-16.03011924676878,2,,COMPLETE
159,0.040367796975134124,0.2836069390685101,2026-03-12 16:17:37.018312,2026-03-12 16:17:37.971336,0 days 00:00:00.953024,4.279304736618891,0.7261703770754525,48.179157557221814,51.115205940815954,4.31981186095546,5.244643202237076,4.224311084884632,1.9178288053621892e-07,8.7540372939853e-15,3.9518959284544973e-16,2.0607386609917603e-07,-17.04025333080157,2,,COMPLETE
160,0.04320069762664609,0.11896798785718488,2026-03-12 16:17:37.973330,2026-03-12 16:17:39.200329,0 days 00:00:01.226999,4.4778475040290076,0.5067484957369444,50.01940394176415,50.671845049444414,4.436008177121881,5.303327827925093,4.469120974115542,2.0180027014638015e-07,2.054582025146577e-17,4.845767715751589e-18,7.765965362010221e-08,-13.884118684695022,2,,COMPLETE
161,0.014336979824901617,0.3905216826229711,2026-03-12 16:17:39.201326,2026-03-12 16:17:40.334943,0 days 00:00:01.133617,4.225110757582753,0.5554281677659516,46.12174036724096,55.212422615279465,4.4661972038449065,5.272742437288826,4.4381070160975975,1.9760156079118933e-07,6.872725624104755e-17,2.5184322877004446e-15,6.088130765848175e-08,-16.03011924676878,2,,COMPLETE
162,0.059964936437818084,0.14461559876195532,2026-03-12 16:17:40.335940,2026-03-12 16:17:41.424808,0 days 00:00:01.088868,4.331266015745508,0.5779618660413431,49.34162624127741,54.78541237116072,4.2606897732593785,5.347180494997594,4.295152149538526,1.8091708605910482e-07,2.1531558866857132e-18,4.212179063424113e-16,6.04666892567387e-08,-14.044210425150215,2,,COMPLETE
163,0.014764482452837265,0.31295257635354296,2026-03-12 16:17:41.426801,2026-03-12 16:17:42.740887,0 days 00:00:01.314086,4.261267046876162,0.6613390272594899,47.35371187951975,51.890915954402686,4.418751351261052,5.1762475771856735,4.342646382747963,2.1697632560309568e-07,2.6556817628958766e-17,4.212179063424113e-16,2.799015840254763e-07,-16.992915843889964,2,,COMPLETE
164,0.02856609148741063,0.10629210159157937,2026-03-12 16:17:42.742881,2026-03-12 16:17:44.017114,0 days 00:00:01.274233,4.431117992446361,0.5682804940581229,49.34162624127741,52.110388815636846,4.229970993830827,5.1954347911197605,4.410875561627365,1.8773068027944915e-07,6.872725624104755e-17,4.845767715751589e-18,8.296641561373889e-07,-14.044210425150215,2,,COMPLETE
165,0.026085759218260816,0.22924039656926914,2026-03-12 16:17:44.018111,2026-03-12 16:17:44.869985,0 days 00:00:00.851874,4.374771739689713,0.602682692329574,46.96510480668222,50.671845049444414,4.2771908001693095,5.345821549114372,4.469120974115542,2.0180027014638015e-07,6.085022353274166e-16,4.845767715751589e-18,8.296641561373889e-07,-16.265023557512162,2,,COMPLETE
166,0.0033876199764293663,0.29231301498938866,2026-03-12 16:17:44.870982,2026-03-12 16:17:45.745108,0 days 00:00:00.874126,4.331266015745508,0.6613390272594899,48.825691196573146,53.72478615858206,4.384433104102663,5.189250737333527,4.295152149538526,2.127043576453349e-07,1.108825396719287e-18,4.212179063424113e-16,2.799015840254763e-07,-16.21055221045389,2,,COMPLETE
